from_warehouse,to_warehouse,from_city,to_city,distance_km,cost_per_unit_inr
WH19,WH05,Bengaluru,Kanpur,2060,45.313
WH19,WH06,Bengaluru,Lucknow,2136,46.981
WH19,WH07,Bengaluru,Mumbai,1141,25.106
WH19,WH08,Bengaluru,Pune,993,21.836
WH19,WH09,Bengaluru,Ahmedabad,1670,36.74
WH19,WH10,Bengaluru,Surat,1407,30.964
WH19,WH11,Bengaluru,Vadodara,1537,33.807
WH19,WH12,Bengaluru,Ankleshwar,1456,32.038
WH19,WH13,Bengaluru,Vapi,1299,28.582
WH19,WH14,Bengaluru,Nashik,1188,26.14
WH19,WH15,Bengaluru,Nagpur,1246,27.403
WH19,WH16,Bengaluru,Indore,1484,32.651
WH19,WH17,Bengaluru,Bhopal,1545,33.982
WH19,WH18,Bengaluru,Chennai,392,8.618
WH19,WH20,Bengaluru,Hyderabad,675,14.85
WH19,WH21,Bengaluru,Coimbatore,308,6.777
WH19,WH22,Bengaluru,Vijayawada,691,15.209
WH19,WH23,Bengaluru,Visakhapatnam,1079,23.729
WH19,WH24,Bengaluru,Kochi,496,10.921
WH19,WH25,Bengaluru,Hosur,48,1.064
WH19,WH26,Bengaluru,Kolkata,2107,46.353
WH19,WH27,Bengaluru,Bhubaneswar,1615,35.525
WH19,WH28,Bengaluru,Patna,2174,47.827
WH19,WH29,Bengaluru,Jamshedpur,1920,42.237
WH19,WH30,Bengaluru,Guwahati,2808,61.776
WH20,WH01,Hyderabad,Delhi,1695,37.285
WH20,WH02,Hyderabad,Gurugram,1675,36.841
WH20,WH03,Hyderabad,Ludhiana,2060,45.329
WH20,WH04,Hyderabad,Jaipur,1478,32.526
WH20,WH05,Hyderabad,Kanpur,1385,30.464
WH20,WH06,Hyderabad,Lucknow,1461,32.137
WH20,WH07,Hyderabad,Mumbai,839,18.457
WH20,WH08,Hyderabad,Pune,683,15.021
WH20,WH09,Hyderabad,Ahmedabad,1187,26.121
WH20,WH10,Hyderabad,Surat,982,21.608
WH20,WH11,Hyderabad,Vadodara,1052,23.143
WH20,WH12,Hyderabad,Ankleshwar,1004,22.087
WH20,WH13,Hyderabad,Vapi,911,20.035
WH20,WH14,Hyderabad,Nashik,774,17.037
WH20,WH15,Hyderabad,Nagpur,571,12.561
WH20,WH16,Hyderabad,Indore,882,19.412
WH20,WH17,Hyderabad,Bhopal,895,19.685
WH20,WH18,Hyderabad,Chennai,696,15.303
WH20,WH19,Hyderabad,Bengaluru,675,14.85
WH20,WH21,Hyderabad,Coimbatore,982,21.594
WH20,WH22,Hyderabad,Vijayawada,337,7.419
WH20,WH23,Hyderabad,Visakhapatnam,679,14.933
WH20,WH24,Hyderabad,Kochi,1165,25.624
WH20,WH25,Hyderabad,Hosur,704,15.481
WH20,WH26,Hyderabad,Kolkata,1596,35.102
WH20,WH27,Hyderabad,Bhubaneswar,1130,24.864
WH20,WH28,Hyderabad,Patna,1542,33.935
WH20,WH29,Hyderabad,Jamshedpur,1358,29.872
WH20,WH30,Hyderabad,Guwahati,2265,49.824
WH21,WH01,Coimbatore,Delhi,2642,58.12
WH21,WH02,Coimbatore,Gurugram,2618,57.605
WH21,WH03,Coimbatore,Ludhiana,2989,65.753
WH21,WH04,Coimbatore,Jaipur,2392,52.621
WH21,WH05,Coimbatore,Kanpur,2366,52.041
WH21,WH06,Coimbatore,Lucknow,2442,53.731
WH21,WH07,Coimbatore,Mumbai,1346,29.617
WH21,WH08,Coimbatore,Pune,1213,26.68
WH21,WH09,Coimbatore,Ahmedabad,1908,41.986
WH21,WH10,Coimbatore,Surat,1636,35.987
WH21,WH11,Coimbatore,Vadodara,1779,39.145
WH21,WH12,Coimbatore,Ankleshwar,1691,37.208
WH21,WH13,Coimbatore,Vapi,1521,33.463
WH21,WH14,Coimbatore,Nashik,1424,31.319
WH21,WH15,Coimbatore,Nagpur,1551,34.126
WH21,WH16,Coimbatore,Indore,1764,38.803
WH21,WH17,Coimbatore,Bhopal,1839,40.458
WH21,WH18,Coimbatore,Chennai,577,12.695
WH21,WH19,Coimbatore,Bengaluru,308,6.777
WH21,WH20,Coimbatore,Hyderabad,982,21.594
WH21,WH22,Coimbatore,Vijayawada,984,21.651
WH21,WH23,Coimbatore,Visakhapatnam,1353,29.768
WH21,WH24,Coimbatore,Kochi,192,4.225
WH21,WH25,Coimbatore,Hosur,289,6.349
WH21,WH26,Coimbatore,Kolkata,2384,52.453
WH21,WH27,Coimbatore,Bhubaneswar,1892,41.62
WH21,WH28,Coimbatore,Patna,2478,54.505
WH21,WH29,Coimbatore,Jamshedpur,2211,48.633
WH21,WH30,Coimbatore,Guwahati,3089,67.961
WH22,WH01,Vijayawada,Delhi,1879,41.331
WH22,WH02,Vijayawada,Gurugram,1863,40.985
WH22,WH03,Vijayawada,Ludhiana,2258,49.679
WH22,WH04,Vijayawada,Jaipur,1702,37.451
WH22,WH05,Vijayawada,Kanpur,1493,32.853
WH22,WH06,Vijayawada,Lucknow,1553,34.162
WH22,WH07,Vijayawada,Mumbai,1176,25.862
WH22,WH08,Vijayawada,Pune,1018,22.397
WH22,WH09,Vijayawada,Ahmedabad,1502,33.048
WH22,WH10,Vijayawada,Surat,1312,28.873
WH22,WH11,Vijayawada,Vadodara,1369,30.12
WH22,WH12,Vijayawada,Ankleshwar,1329,29.246
WH22,WH13,Vijayawada,Vapi,1246,27.405
WH22,WH14,Vijayawada,Nashik,1109,24.4
WH22,WH15,Vijayawada,Nagpur,731,16.079
WH22,WH16,Vijayawada,Indore,1152,25.354
WH22,WH17,Vijayawada,Bhopal,1112,24.459
WH22,WH18,Vijayawada,Chennai,517,11.37
WH22,WH19,Vijayawada,Bengaluru,691,15.209
WH22,WH20,Vijayawada,Hyderabad,337,7.419
WH22,WH21,Vijayawada,Coimbatore,984,21.651
WH22,WH23,Vijayawada,Visakhapatnam,409,9.002
WH22,WH24,Vijayawada,Kochi,1176,25.876
WH22,WH25,Vijayawada,Hosur,698,15.361
WH22,WH26,Vijayawada,Kolkata,1421,31.26
WH22,WH27,Vijayawada,Bhubaneswar,931,20.485
WH22,WH28,Vijayawada,Patna,1502,33.04
WH22,WH29,Vijayawada,Jamshedpur,1229,27.031
WH22,WH30,Vijayawada,Guwahati,2119,46.608
WH23,WH01,Visakhapatnam,Delhi,1837,40.418
WH23,WH02,Visakhapatnam,Gurugram,1828,40.224
WH23,WH03,Visakhapatnam,Ludhiana,2223,48.906
WH23,WH04,Visakhapatnam,Jaipur,1726,37.974
WH23,WH05,Visakhapatnam,Kanpur,1375,30.255
WH23,WH06,Visakhapatnam,Lucknow,1411,31.035
WH23,WH07,Visakhapatnam,Mumbai,1488,32.726
WH23,WH08,Visakhapatnam,Pune,1341,29.512
WH23,WH09,Visakhapatnam,Ahmedabad,1698,37.36
WH23,WH10,Visakhapatnam,Surat,1560,34.324
WH23,WH11,Visakhapatnam,Vadodara,1576,34.671
WH23,WH12,Visakhapatnam,Ankleshwar,1560,34.331
WH23,WH13,Visakhapatnam,Vapi,1518,33.39
WH23,WH14,Visakhapatnam,Nashik,1383,30.436
WH23,WH15,Visakhapatnam,Nagpur,782,17.202
WH23,WH16,Visakhapatnam,Indore,1283,28.216
WH23,WH17,Visakhapatnam,Bhopal,1169,25.71
WH23,WH18,Visakhapatnam,Chennai,812,17.867
WH23,WH19,Visakhapatnam,Bengaluru,1079,23.729
WH23,WH20,Visakhapatnam,Hyderabad,679,14.933
WH23,WH21,Visakhapatnam,Coimbatore,1353,29.768
WH23,WH22,Visakhapatnam,Vijayawada,409,9.002
WH23,WH24,Visakhapatnam,Kochi,1543,33.942
WH23,WH25,Visakhapatnam,Hosur,1078,23.705
WH23,WH26,Visakhapatnam,Kolkata,1031,22.686
WH23,WH27,Visakhapatnam,Bhubaneswar,539,11.852
WH23,WH28,Visakhapatnam,Patna,1217,26.768
WH23,WH29,Visakhapatnam,Jamshedpur,876,19.264
WH23,WH30,Visakhapatnam,Guwahati,1736,38.199
WH24,WH01,Kochi,Delhi,2808,61.768
WH24,WH02,Kochi,Gurugram,2783,61.235
WH24,WH03,Kochi,Ludhiana,3148,69.264
WH24,WH04,Kochi,Jaipur,2550,56.1
WH24,WH05,Kochi,Kanpur,2546,56.01
WH24,WH06,Kochi,Lucknow,2624,57.737
WH24,WH07,Kochi,Mumbai,1458,32.082
WH24,WH08,Kochi,Pune,1336,29.394
WH24,WH09,Kochi,Ahmedabad,2036,44.782
WH24,WH10,Kochi,Surat,1759,38.687
WH24,WH11,Kochi,Vadodara,1910,42.022
WH24,WH12,Kochi,Ankleshwar,1818,39.99
WH24,WH13,Kochi,Vapi,1641,36.1
WH24,WH14,Kochi,Nashik,1553,34.168
WH24,WH15,Kochi,Nagpur,1732,38.104
WH24,WH16,Kochi,Indore,1921,42.253
WH24,WH17,Kochi,Bhopal,2008,44.166
WH24,WH18,Kochi,Chennai,755,16.617
WH24,WH19,Kochi,Bengaluru,496,10.921
WH24,WH20,Kochi,Hyderabad,1165,25.624
WH24,WH21,Kochi,Coimbatore,192,4.225
WH24,WH22,Kochi,Vijayawada,1176,25.876
WH24,WH23,Kochi,Visakhapatnam,1543,33.942
WH24,WH25,Kochi,Hosur,480,10.561
WH24,WH26,Kochi,Kolkata,2574,56.621
WH24,WH27,Kochi,Bhubaneswar,2081,45.792
WH24,WH28,Kochi,Patna,2669,58.715
WH24,WH29,Kochi,Jamshedpur,2402,52.85
WH24,WH30,Kochi,Guwahati,3279,72.141
WH25,WH01,Hosur,Delhi,2384,52.455
WH25,WH02,Hosur,Gurugram,2362,51.969
WH25,WH03,Hosur,Ludhiana,2740,60.273
WH25,WH04,Hosur,Jaipur,2147,47.225
WH25,WH05,Hosur,Kanpur,2088,45.936
WH25,WH06,Hosur,Lucknow,2163,47.576
WH25,WH07,Hosur,Mumbai,1189,26.159
WH25,WH08,Hosur,Pune,1040,22.879
WH25,WH09,Hosur,Ahmedabad,1716,37.744
WH25,WH10,Hosur,Surat,1454,31.988
WH25,WH11,Hosur,Vadodara,1582,34.804
WH25,WH12,Hosur,Ankleshwar,1502,33.051
WH25,WH13,Hosur,Vapi,1346,29.616
WH25,WH14,Hosur,Nashik,1234,27.158
WH25,WH15,Hosur,Nagpur,1275,28.042
WH25,WH16,Hosur,Indore,1524,33.529
WH25,WH17,Hosur,Bhopal,1580,34.763
WH25,WH18,Hosur,Chennai,361,7.952
WH25,WH19,Hosur,Bengaluru,48,1.064
WH25,WH20,Hosur,Hyderabad,704,15.481
WH25,WH21,Hosur,Coimbatore,289,6.349
WH25,WH22,Hosur,Vijayawada,698,15.361
WH25,WH23,Hosur,Visakhapatnam,1078,23.705
WH25,WH24,Hosur,Kochi,480,10.561
WH25,WH26,Hosur,Kolkata,2108,46.371
WH25,WH27,Hosur,Bhubaneswar,1615,35.535
WH25,WH28,Hosur,Patna,2189,48.156
WH25,WH29,Hosur,Jamshedpur,1926,42.382
WH25,WH30,Hosur,Guwahati,2811,61.833
WH26,WH01,Kolkata,Delhi,1760,38.724
WH26,WH02,Kolkata,Gurugram,1771,38.953
WH26,WH03,Kolkata,Ludhiana,2089,45.954
WH26,WH04,Kolkata,Jaipur,1833,40.326
WH26,WH05,Kolkata,Kanpur,1241,27.312
WH26,WH06,Kolkata,Lucknow,1197,26.343
WH26,WH07,Kolkata,Mumbai,2234,49.149
WH26,WH08,Kolkata,Pune,2127,46.789
WH26,WH09,Kolkata,Ahmedabad,2185,48.08
WH26,WH10,Kolkata,Surat,2173,47.807
WH26,WH11,Kolkata,Vadodara,2106,46.332
WH26,WH12,Kolkata,Ankleshwar,2141,47.097
WH26,WH13,Kolkata,Vapi,2184,48.04
WH26,WH14,Kolkata,Nashik,2074,45.626
WH26,WH15,Kolkata,Nagpur,1310,28.813
WH26,WH16,Kolkata,Indore,1732,38.109
WH26,WH17,Kolkata,Bhopal,1517,33.381
WH26,WH18,Kolkata,Chennai,1834,40.343
WH26,WH19,Kolkata,Bengaluru,2107,46.353
WH26,WH20,Kolkata,Hyderabad,1596,35.102
WH26,WH21,Kolkata,Coimbatore,2384,52.453
WH26,WH22,Kolkata,Vijayawada,1421,31.26
WH26,WH23,Kolkata,Visakhapatnam,1031,22.686
WH26,WH24,Kolkata,Kochi,2574,56.621
WH26,WH25,Kolkata,Hosur,2108,46.371
WH26,WH27,Kolkata,Bhubaneswar,493,10.837
WH26,WH28,Kolkata,Patna,633,13.934
WH26,WH29,Kolkata,Jamshedpur,301,6.629
WH26,WH30,Kolkata,Guwahati,707,15.557
WH27,WH01,Bhubaneswar,Delhi,1715,37.726
WH27,WH02,Bhubaneswar,Gurugram,1716,37.75
WH27,WH03,Bhubaneswar,Ludhiana,2085,45.86
WH27,WH04,Bhubaneswar,Jaipur,1700,37.39
WH27,WH05,Bhubaneswar,Kanpur,1194,26.264
WH27,WH06,Bhubaneswar,Lucknow,1190,26.185
WH27,WH07,Bhubaneswar,Mumbai,1839,40.448
WH27,WH08,Bhubaneswar,Pune,1715,37.727
WH27,WH09,Bhubaneswar,Ahmedabad,1893,41.645
WH27,WH10,Bhubaneswar,Surat,1828,40.224
WH27,WH11,Bhubaneswar,Vadodara,1793,39.451
WH27,WH12,Bhubaneswar,Ankleshwar,1808,39.785
WH27,WH13,Bhubaneswar,Vapi,1818,39.999
WH27,WH14,Bhubaneswar,Nashik,1696,37.317
WH27,WH15,Bhubaneswar,Nagpur,954,20.994
WH27,WH16,Bhubaneswar,Indore,1438,31.644
WH27,WH17,Bhubaneswar,Bhopal,1254,27.585
WH27,WH18,Bhubaneswar,Chennai,1345,29.591
WH27,WH19,Bhubaneswar,Bengaluru,1615,35.525
WH27,WH20,Bhubaneswar,Hyderabad,1130,24.864
WH27,WH21,Bhubaneswar,Coimbatore,1892,41.62
WH27,WH22,Bhubaneswar,Vijayawada,931,20.485
WH27,WH23,Bhubaneswar,Visakhapatnam,539,11.852
WH27,WH24,Bhubaneswar,Kochi,2081,45.792
WH27,WH25,Bhubaneswar,Hosur,1615,35.535
WH27,WH26,Bhubaneswar,Kolkata,493,10.837
WH27,WH28,Bhubaneswar,Patna,801,17.621
WH27,WH29,Bhubaneswar,Jamshedpur,380,8.365
WH27,WH30,Bhubaneswar,Guwahati,1198,26.353
WH28,WH01,Patna,Delhi,1152,25.345
WH28,WH02,Patna,Gurugram,1166,25.661
WH28,WH03,Patna,Ludhiana,1462,32.167
WH28,WH04,Patna,Jaipur,1274,28.027
WH28,WH05,Patna,Kanpur,661,14.538
WH28,WH06,Patna,Lucknow,595,13.088
WH28,WH07,Patna,Mumbai,1962,43.161
WH28,WH08,Patna,Pune,1893,41.655
WH28,WH09,Patna,Ahmedabad,1761,38.745
WH28,WH10,Patna,Surat,1820,40.039
WH28,WH11,Patna,Vadodara,1712,37.665
WH28,WH12,Patna,Ankleshwar,1772,38.978
WH28,WH13,Patna,Vapi,1862,40.97
WH28,WH14,Patna,Nashik,1780,39.156
WH28,WH15,Patna,Nagpur,1068,23.491
WH28,WH16,Patna,Indore,1342,29.521
WH28,WH17,Patna,Bhopal,1112,24.469
WH28,WH18,Patna,Chennai,2000,44.0
WH28,WH19,Patna,Bengaluru,2174,47.827
WH28,WH20,Patna,Hyderabad,1542,33.935
WH28,WH21,Patna,Coimbatore,2478,54.505
WH28,WH22,Patna,Vijayawada,1502,33.04
WH28,WH23,Patna,Visakhapatnam,1217,26.768
WH28,WH24,Patna,Kochi,2669,58.715
WH28,WH25,Patna,Hosur,2189,48.156
WH28,WH26,Patna,Kolkata,633,13.934
WH28,WH27,Patna,Bhubaneswar,801,17.621
WH28,WH29,Patna,Jamshedpur,443,9.755
WH28,WH30,Patna,Guwahati,895,19.69
WH29,WH01,Jamshedpur,Delhi,1496,32.908
WH29,WH02,Jamshedpur,Gurugram,1503,33.075
WH29,WH03,Jamshedpur,Ludhiana,1841,40.507
WH29,WH04,Jamshedpur,Jaipur,1546,34.014
WH29,WH05,Jamshedpur,Kanpur,970,21.339
WH29,WH06,Jamshedpur,Lucknow,938,20.646
WH29,WH07,Jamshedpur,Mumbai,1949,42.883
WH29,WH08,Jamshedpur,Pune,1849,40.669
WH29,WH09,Jamshedpur,Ahmedabad,1884,41.457
WH29,WH10,Jamshedpur,Surat,1877,41.287
WH29,WH11,Jamshedpur,Vadodara,1806,39.736
WH29,WH12,Jamshedpur,Ankleshwar,1843,40.542
WH29,WH13,Jamshedpur,Vapi,1891,41.603
WH29,WH14,Jamshedpur,Nashik,1785,39.262
WH29,WH15,Jamshedpur,Nagpur,1021,22.464
WH29,WH16,Jamshedpur,Indore,1432,31.499
WH29,WH17,Jamshedpur,Bhopal,1216,26.754
WH29,WH18,Jamshedpur,Chennai,1687,37.109
WH29,WH19,Jamshedpur,Bengaluru,1920,42.237
WH29,WH20,Jamshedpur,Hyderabad,1358,29.872
WH29,WH21,Jamshedpur,Coimbatore,2211,48.633
WH29,WH22,Jamshedpur,Vijayawada,1229,27.031
WH29,WH23,Jamshedpur,Visakhapatnam,876,19.264
WH29,WH24,Jamshedpur,Kochi,2402,52.85
WH29,WH25,Jamshedpur,Hosur,1926,42.382
WH29,WH26,Jamshedpur,Kolkata,301,6.629
WH29,WH27,Jamshedpur,Bhubaneswar,380,8.365
WH29,WH28,Jamshedpur,Patna,443,9.755
WH29,WH30,Jamshedpur,Guwahati,907,19.953
WH30,WH01,Guwahati,Delhi,1970,43.346
WH30,WH02,Guwahati,Gurugram,1991,43.809
WH30,WH03,Guwahati,Ludhiana,2210,48.624
WH30,WH04,Guwahati,Jaipur,2144,47.163
WH30,WH05,Guwahati,Kanpur,1535,33.769
WH30,WH06,Guwahati,Lucknow,1453,31.966
WH30,WH07,Guwahati,Mumbai,2817,61.964
WH30,WH08,Guwahati,Pune,2730,60.058
WH30,WH09,Guwahati,Ahmedabad,2655,58.413
WH30,WH10,Guwahati,Surat,2701,59.432
WH30,WH11,Guwahati,Vadodara,2602,57.243
WH30,WH12,Guwahati,Ankleshwar,2657,58.451
WH30,WH13,Guwahati,Vapi,2735,60.16
WH30,WH14,Guwahati,Nashik,2642,58.114
WH30,WH15,Guwahati,Nagpur,1893,41.643
WH30,WH16,Guwahati,Indore,2229,49.028
WH30,WH17,Guwahati,Bhopal,2000,43.992
WH30,WH18,Guwahati,Chennai,2541,55.9
WH30,WH19,Guwahati,Bengaluru,2808,61.776
WH30,WH20,Guwahati,Hyderabad,2265,49.824
WH30,WH21,Guwahati,Coimbatore,3089,67.961
WH30,WH22,Guwahati,Vijayawada,2119,46.608
WH30,WH23,Guwahati,Visakhapatnam,1736,38.199
WH30,WH24,Guwahati,Kochi,3279,72.141
WH30,WH25,Guwahati,Hosur,2811,61.833
WH30,WH26,Guwahati,Kolkata,707,15.557
WH30,WH27,Guwahati,Bhubaneswar,1198,26.353
WH30,WH28,Guwahati,Patna,895,19.69
WH30,WH29,Guwahati,Jamshedpur,907,19.953
